Headline,URL,Date,Location
Transgender inmates to challenge Pennsylvania law prohibiting name changes,https://globalnews.ca/news/6540606/transgender-women-pennsylvania-inmates/,"February 12, 2020 8:46 am",WORLD
Coronavirus poses biggest crisis for China’s Communist Party since SARS,https://globalnews.ca/news/6540536/china-communist-party-coronavirus/,"February 12, 2020 8:15 am",WORLD
Trudeau secures support for Canadian seat on UN Security Council during Senegal trip,https://globalnews.ca/news/6540479/trudeau-senegal-violence/,"February 12, 2020 7:44 am",WORLD
Britain plans to fine social media companies for harmful content,https://globalnews.ca/news/6540388/britian-social-media-fines/,"February 12, 2020 7:33 am",WORLD
Pope Francis declines to approve ordination of married priests in the Amazon,https://globalnews.ca/news/6540345/pope-francis-married-priests-amazon/,"February 12, 2020 7:43 am",WORLD
39 new cases of COVID-19 confirmed on Japanese cruise ship: officials,https://globalnews.ca/news/6540323/coronavirus-39-cases-japan-cruise-ship/,"February 12, 2020 6:31 am",CANADA
"Anti pipeline blockades put Canada’s freight, passenger railways under stress",https://globalnews.ca/news/6540264/pipeline-protests-railways-stress/,"February 12, 2020 6:10 am",CANADA
Sanders narrowly defeats Buttigieg to take New Hampshire primary,https://globalnews.ca/news/6539790/bernie-sanders-new-hampshire-primary/,"February 11, 2020 11:38 pm",POLITICS
Trump wants Pentagon to review conduct of witness central to impeachment case,https://globalnews.ca/news/6539655/trump-pentagon-review-witness-conduct/,"February 11, 2020 10:53 pm",POLITICS
"COVID-19: Death toll exceeds 1,100 as China reports drop in new cases",https://globalnews.ca/news/6539533/china-coronavirus-infection-deaths/,"February 11, 2020 7:59 pm",HEALTH
New Hampshire primary: Democrat Senator Michael Bennet drops 2020 presidential bid,https://globalnews.ca/news/6539322/new-hampshire-michael-bennett-drops/,"February 11, 2020 8:50 pm",POLITICS
New Hampshire primary: Democrat Andrew Yang suspends 2020 presidential bid,https://globalnews.ca/news/6539190/andrew-yang-suspends-campaign/,"February 11, 2020 8:20 pm",POLITICS
San Diego lab ‘mix-up’ led to early coronavirus patient release from isolation,https://globalnews.ca/news/6537429/mix-up-coronavirus-san-diego/,"February 11, 2020 4:53 pm",WORLD
"Former ‘Empire’ actor Jussie Smollett indicted by Chicago prosecutor, reports say",https://globalnews.ca/news/6537904/jussie-smollett-indictment-chicago-attack-allegations/,"February 11, 2020 4:26 pm",ENTERTAINMENT
Indonesia says it has nothing to hide after declaring no coronavirus cases,https://globalnews.ca/news/6537005/indonesia-zero-coronavirus-cases/,"February 11, 2020 2:18 pm",HEALTH
Turkey won’t pull out amid Syria advances to last rebel stronghold: defence minister,https://globalnews.ca/news/6536617/turkey-syria-conflict-advances/,"February 11, 2020 1:43 pm",WORLD
Trial team quits after U.S. says it will lower Roger Stone’s prison sentence,https://globalnews.ca/news/6536696/roger-stone-sentencing/,"February 11, 2020 1:31 pm",WORLD
Free porn offered to cruise-ship passengers under coronavirus quarantine,https://globalnews.ca/news/6535843/free-porn-cruise-ship-coronavirus-quarantine/,"February 11, 2020 12:55 pm",TRENDING
Family pit bull kills 5-year-old boy after relative leaves the room,https://globalnews.ca/news/6535711/pit-bull-kills-boy-california/,"February 11, 2020 12:49 pm",TRENDING
"Number of U.S. jobs drops 5.4%, cuts recorded for 2nd straight month",https://globalnews.ca/news/6536016/us-open-jobs-drop/,"February 11, 2020 12:09 pm",WORLD
Queen’s grandson Peter Phillips and Canadian wife Autumn to divorce,https://globalnews.ca/news/6535629/peter-autumn-phillips-divorce/,"February 11, 2020 8:01 am",LIFESTYLE
COVID-19: New coronavirus disease named by World Health Organization,https://globalnews.ca/news/6535635/coronavirus-name-covid19/,"February 11, 2020 8:22 am",HEALTH
Lebanese protesters rally near parliament ahead of Cabinet confidence vote,https://globalnews.ca/news/6535510/lebanon-protests-cabinet-vote/,"February 11, 2020 9:52 am",WORLD
Sudan officials to face international court over war crimes in Darfur,https://globalnews.ca/news/6535498/omar-al-bashir-war-crimes-sudan-darfur/,"February 11, 2020 9:49 am",WORLD
Nuts ‘N More peanut spread recalled over Listeria concern,https://globalnews.ca/news/6535233/peanut-spread-recall-listeria/,"February 11, 2020 9:23 am",CANADA
"New Hampshire primary: Sanders edges out Buttigieg as Yang, Bennet drop campaigns",https://globalnews.ca/news/6535160/democrats-new-hampshire-momentum/,"February 11, 2020 9:10 am",POLITICS
Coronavirus sickens residents on different floors of Hong Kong apartment,https://globalnews.ca/news/6535080/hong-kong-coronavirus-apartment-sars/,"February 11, 2020 8:49 am",WORLD
Families who endured airport delays over no fly list invited to test new system,https://globalnews.ca/news/6535094/no-fly-list-canada-families-test/,"February 11, 2020 8:18 am",CANADA
Baghdad wakes up to snow for first time in more than a decade,https://globalnews.ca/news/6535067/baghdad-snowfall-decade/,"February 11, 2020 8:05 am",WORLD
Here’s what to watch for as New Hampshire holds primary contest,https://globalnews.ca/news/6534899/new-hampsire-primary-what-to-watch/,"February 11, 2020 6:35 am",POLITICS
"2nd plane carrying Canadian evacuees from Wuhan, China arrives at CFB Trenton",https://globalnews.ca/news/6534864/canada-second-coronavirus-plane-lands/,"February 11, 2020 3:50 am",CANADA
"Eastern Australia’s remaining wildfires could be doused by heavy rains, officials say",https://globalnews.ca/news/6534559/australia-wildfires-flooding-rains/,"February 10, 2020 11:45 pm",ENVIRONMENT
"Coronavirus: Public health systems start feeling strain on treatment, resources",https://globalnews.ca/news/6534283/coronavirus-public-health-systems-strain/,"February 10, 2020 9:58 pm",HEALTH
"Trump, after impeachment acquittal, wants to ‘shake up the Dems’ with New Hampshire rally",https://globalnews.ca/news/6533904/trump-new-hampshire-rally/,"February 10, 2020 8:17 pm",POLITICS
"Coronavirus death toll passes 1,000, as China reports most casualties in single day",https://globalnews.ca/news/6533678/china-coronavirus-death-toll-who/,"February 10, 2020 7:24 pm",HEALTH
"China won’t free the ‘two Michaels’ over Canada’s coronavirus help, experts say",https://globalnews.ca/news/6533527/china-canada-coronavirus-huawei/,"February 10, 2020 6:34 pm",CANADA
"Coronavirus-themed emails used by cybercriminals to spread malware, report says",https://globalnews.ca/news/6533339/coronavirus-emails-cybersecurity-malware/,"February 10, 2020 6:14 pm",HEALTH
Man accused of shooting NYPD officers in ambush arraigned on attempted murder charges,https://globalnews.ca/news/6533309/police-ambush-suspect-arraigned/,"February 10, 2020 5:56 pm",CRIME
"New York sues Trump over ban on Nexus, other Trusted Traveller programs",https://globalnews.ca/news/6533155/new-york-trump-nexus/,"February 10, 2020 5:24 pm",WORLD
"Spain rescues 119 migrants from sea, launches search for dozens missing",https://globalnews.ca/news/6532363/spain-migrant-rescue-search/,"February 10, 2020 4:59 pm",WORLD
Turkey says it has retaliated after Syrian shelling kills 5 soldiers,https://globalnews.ca/news/6532092/turkey-retaliation-syria-shelling/,"February 10, 2020 2:49 pm",WORLD
Canadian troops in Kuwait ‘essential’ in fight against Islamic militants: Trudeau,https://globalnews.ca/news/6531585/trudeau-kuwait-islamic-militants/,"February 10, 2020 1:29 pm",CANADA
U.S. to speed up cases of refugees put in limbo by Trump travel ban,https://globalnews.ca/news/6531493/trump-refugee-cases-ban/,"February 10, 2020 1:25 pm",WORLD
2 police officers among 3 shot at Walmart in eastern Arkansas,https://globalnews.ca/news/6531456/walmart-shooting-arkansas/,"February 10, 2020 1:09 pm",WORLD
2nd evacuation flight chartered by Ottawa leaves Wuhan with 185 on board,https://globalnews.ca/news/6530909/coronavirus-quarantine-flight-crew-released/,"February 10, 2020 12:30 pm",CANADA
